,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
1104,Paranoia___Daria,2022-02-18 18:12,Daria,Paranoia,165645,2022-02-18 18:12:00,0.861,0.821,6,-5.087,0,0.0362,0.282,0.00796,0.0792,0.946,129.983,audio_features,01AnaOESGIDMJiTXrvAY1M,spotify:track:01AnaOESGIDMJiTXrvAY1M,https://api.spotify.com/v1/tracks/01AnaOESGIDMJiTXrvAY1M,https://api.spotify.com/v1/audio-analysis/01AnaOESGIDMJiTXrvAY1M,165645,4,Paranoia,1JMUTCafIMR1CBljcpwyte
1105,"Cześć, jak się masz?___Sobel",2022-02-18 18:16,Sobel,"Cześć, jak się masz?",13181,2022-02-18 18:16:00,0.653,0.532,2,-5.734,1,0.044,0.623,0.0,0.182,0.492,109.738,audio_features,3J8bqiO8oUI9xfFRrGpVPS,spotify:track:3J8bqiO8oUI9xfFRrGpVPS,https://api.spotify.com/v1/tracks/3J8bqiO8oUI9xfFRrGpVPS,https://api.spotify.com/v1/audio-analysis/3J8bqiO8oUI9xfFRrGpVPS,201008,4,"Cześć, jak się masz?",0rRL34KdnsygRuxKRsuwAH
1106,Origami___Ronnie Ferrari,2022-02-18 18:16,Ronnie Ferrari,Origami,219521,2022-02-18 18:16:00,0.817,0.481,1,-8.116,1,0.348,0.585,5.97e-05,0.103,0.486,91.979,audio_features,3205ZtwMnzMBtr7GQZ1IbH,spotify:track:3205ZtwMnzMBtr7GQZ1IbH,https://api.spotify.com/v1/tracks/3205ZtwMnzMBtr7GQZ1IbH,https://api.spotify.com/v1/audio-analysis/3205ZtwMnzMBtr7GQZ1IbH,219522,4,Origami,1eu8Sv101QfNFmDyCIi1UV
1107,Rozmazana kreska___Kinny Zimmer,2022-02-18 18:19,Kinny Zimmer,Rozmazana kreska,190880,2022-02-18 18:19:00,0.759,0.363,0,-9.34,1,0.424,0.0402,0.0,0.101,0.677,159.88,audio_features,5Dwpfuw962xZq6mNg8OgzN,spotify:track:5Dwpfuw962xZq6mNg8OgzN,https://api.spotify.com/v1/tracks/5Dwpfuw962xZq6mNg8OgzN,https://api.spotify.com/v1/audio-analysis/5Dwpfuw962xZq6mNg8OgzN,190881,4,Rozmazana kreska,7D4ioBCIfM9YsIIWLDw7zX
1108,Do It To It___ACRAZE,2022-02-18 18:28,ACRAZE,Do It To It,11137,2022-02-18 18:28:00,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,audio_features,20on25jryn53hWghthWWW3,spotify:track:20on25jryn53hWghthWWW3,https://api.spotify.com/v1/tracks/20on25jryn53hWghthWWW3,https://api.spotify.com/v1/audio-analysis/20on25jryn53hWghthWWW3,157890,4,Do It To It,58cd90Jkrovggh556JPN9L
1109,BMW___ReTo,2022-02-18 18:28,ReTo,BMW,71575,2022-02-18 18:28:00,0.778,0.456,9,-10.165,1,0.192,0.0545,0.000459,0.196,0.119,97.518,audio_features,0e9dWwZD9EemG1w92C3JLp,spotify:track:0e9dWwZD9EemG1w92C3JLp,https://api.spotify.com/v1/tracks/0e9dWwZD9EemG1w92C3JLp,https://api.spotify.com/v1/audio-analysis/0e9dWwZD9EemG1w92C3JLp,146465,4,W samo południe (Deluxe),68vOoh6kzluqI6XpnOqX4H
1110,abcdefu___GAYLE,2022-02-18 18:31,GAYLE,abcdefu,168601,2022-02-18 18:31:00,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,4,abcdefu,6tUQPKlpR4x1gjrXTtOImI
1111,Rozkosz___Julia Wieniawa,2022-02-18 18:46,Julia Wieniawa,Rozkosz,207622,2022-02-18 18:46:00,0.552,0.526,6,-6.617,0,0.0355,0.116,0.0,0.0811,0.139,137.994,audio_features,2lYUcBUAdtVbEutqXmc73b,spotify:track:2lYUcBUAdtVbEutqXmc73b,https://api.spotify.com/v1/tracks/2lYUcBUAdtVbEutqXmc73b,https://api.spotify.com/v1/audio-analysis/2lYUcBUAdtVbEutqXmc73b,243560,4,Rozkosz,7CLBwFgINJR1gZcv9p7JG1
1112,Battle of the Heroes___John Williams,2022-02-18 18:55,John Williams,Battle of the Heroes,222600,2022-02-18 18:55:00,0.174,0.298,0,-15.017,0,0.033,0.783,0.953,0.14,0.133,89.962,audio_features,2GwL2CB0XEoJE2y0dIvQ3f,spotify:track:2GwL2CB0XEoJE2y0dIvQ3f,https://api.spotify.com/v1/tracks/2GwL2CB0XEoJE2y0dIvQ3f,https://api.spotify.com/v1/audio-analysis/2GwL2CB0XEoJE2y0dIvQ3f,222600,4,Gwiezdne Wojny: Zemsta Sithów (Ścieżka Dźwiękowa z Filmu),36WftHpjfdOmqcuyXELOnE
1113,Reset___Coals,2022-02-19 13:26,Coals,Reset,192941,2022-02-19 13:26:00,0.517,0.49,6,-10.406,0,0.0317,0.156,0.000102,0.0996,0.644,101.932,audio_features,3VKNu6f4JBSiLMiFrAYXM0,spotify:track:3VKNu6f4JBSiLMiFrAYXM0,https://api.spotify.com/v1/tracks/3VKNu6f4JBSiLMiFrAYXM0,https://api.spotify.com/v1/audio-analysis/3VKNu6f4JBSiLMiFrAYXM0,192941,4,Rewal,6KtvsOlJIPEzJjzqzbqI0e
